Profile (FG500),,,Details (FG500),,,,,,,,,,RE100,,,SBTi,,,,,,,,,,,,NZ Tracker Definition,,,,,,Carbon Neutral,,,,,,Net Zero,,,,,,,Use of carbon credits,,Other reduction targets,,,,,,Other,,,Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,Last year checks ,,,,,,this year  ,,,,,
188,197,Roche Group,Pharmaceuticals,Health care and pharmaceuticals,Switzerland,Europe,"$70,861.1","$9,400.1",-0.266,"$112,363.1",103249,31,N,,,Y,Y,Targets set,1.5°C ,2029,Targets set,1.5°C ,2045,Y,Targets set,2045,,Zero emissions,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2","In October 2024, Roche submitted its greenhouse gas (GHG) reduction targets to the Science Based Targets initiative (SBTi), underscoring its commitment to addressing climate change. As part of its ongoing sustainability efforts, Roche has expanded its carbon reduction strategy to include nearand long-term targets. These targets seek to reduce GHG emissions across its operations (Scope 1 and 2) and throughout its up- and downstream value chain (Scope 3). The goal is to achieve net zero emissions across Roche‚Äôs entire value chain by 2045. SBTi validation of these targets is in progress, targets will be announced once validated. Roche‚Äôs commitment remains to achieve absolute zero Scope 1 and 2 emissions by 2050.

Last year, they refined their company-wide sustainability strategy. In the area of climate protection, they have set a target of achieving net-zero emissions throughout our value chain by 2045 and absolute zero emissions by 2050 as part of the Science Based Targets initiative",2050,,,Not Specified,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,N,0,C,N,0,N,Y,Targets set,Y,N,Not Specified,
90,89,Rosneft Oil,Petroleum Refining,Oil and gas,Russia,Europe,"$109,254.3","$11,680.8",-0.215,"$182,191.1",333700,19,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"In late 2021, the Company‚Äôs Board of Directors approved the Rosneft-2030: Reliable Energy and Global Energy Transition Strategy comprising a number of ambitious sustainability
goals. The key strategic focus for the Company is to reach carbon neutrality in terms of GHG emissions (Scope 1 and 2) by 2050. We also set relevant targets and KPIs to drive these improvements:
Growing the Company‚Äôs natural gas production to over 100 bcm per annum;
Reducing per unit GHG emissions by 5% by 2022;
Avoiding 8 mmt of –°–û2 equivalent emissions through the Gas Investment Program and the Energy Saving Program;
Achieving a top quartile indicator in GHG emissions‚Äô intensity (Upstream oil and gas production, t CO2 eq. /production, kt) comparable with leading global peers;
Developing and producing new products that allow consumers to reduce emissions through the use of the Company‚Äôs more eco-friendly products.

Source: Carbon Management Plan 2021: https://web.archive.org/web/20241214223743/https://www.rosneft.com/upload/site2/document_file/Rosneft_CSR2021_ENG.pdf UN SDGS Report 2023: https://web.archive.org/web/20250421052601/https://www.rosneft.com/upload/site2/attach/3/23/Rosneft_UN_en_2023.pdf",2050,,,,N,,,,,,Not Specified,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,N,C,Y,N,N,,N,Y,Not Specified,
108,114,Royal Ahold Delhaize,Food and Drugstores,Retail,Netherlands,Europe,"$96,632.4","$1,907.7",-0.058,"$53,677.8",222000,31,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Long-term targets: 
For Scope 1 & Scope 2 - Reaching Net Zero by 2040: 90% reduction and 10% removals against the 2018 baseline.

For Scope 3 - Reaching Net Zero by 2050 (2020 baseline, submitted but not yet validated):
- ""We commit to reduce absolute scope 3 FLAG GHG emissions by at least 72% by 2050 from the 2020 SBTi baseline"".
- ""We commit to reduce absolute scope 3 E&I GHG emissions by 90% by 2050 from the 2020 SBTi baseline."" (page 20 of the 2024 report)

In their 2024 report it is mentioned that: ""We plan to reduce electricity emissions to zero by 2035."" (page 34)
",2050,,,Yes,Yes (unspecified),Yes,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,Yes,"C, V",N,0,U,Y,Targets set,Y,N,Yes,
101,137,Royal Bank of Canada,Megabanks,Financial services,Canada,North America,"$98,742.8","$11,929.2",0.083,"$1,557,918.1",94838,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2","""RBC has a goal to achieve net-zero in our lending by 2050."" (Pg 5, RBC Climate Report 2023) [https://www.rbc.com/community-sustainability/_assets-custom/pdf/climate-report-2023.pdf]",2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,N,0,F,C,Y,Y,N,,Y,N,Yes,
153,188,RTX,Aerospace and Defense,Aerospace and defense,U.S.,North America,"$80,738","$4,774",0.494,"$162,861",186000,31,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Not Specified,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,"'By 2050 we aspire to...Partner to achieve industrywide net-zero carbon emissions in civil aviation. To support the industry‚Äôs goals, we aim to directly address 30% of air transport carbon dioxide (CO2) emissions through the engines, aircraft systems and services in our 2050 civil fleet, relative to 2015 technology levels and the associated emissions baseline.' [emissions reduction target is a part of the industry net zero target, but it doesn't seem like Raytheon Technologies themselves will achieve net zero individually].  (p. 5, 2022 ESG report)",2050,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,C,N,0,Y,N,,N,N,Not Specified,
393,415,S.F. Holding,Air Freight and Logistics,Transportation and logistics,China,Asia,"$39,529.4","$1,413.5",0.215,"$29,293.8",147189,4,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","In November 2023, SF officially signed and submitted the Business Ambition for 1.5°C  Commitment Letter to the ‚ÄúScience-Based Carbon Target Initiative‚Äù (SBTi), demonstrating the company‚Äôs commitment to achieving science-based greenhouse gas emission reduction targets and striving to achieve net-zero emissions in the value chain by 2050.' (P.74, 2024 Sustainability Report) 
""Overall Net-Zero Target: S.F. Holding Co., Ltd commits to reach net-zero greenhouse gas emissions across the value chain by 2050."" (SBTi target dashboard)",2050,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,N,Yes,N,G,U,0,Y,Targets set,Y,N,Yes,
138,93,SAIC Motor,Motor Vehicles & Parts,Automotive,China,Asia,"$87,223.9",$231.6,-0.884,"$131,128.1",134323,14,N,,,N,N,,,,,,,,,,,Other,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,"'During the reporting period, SAIC Motor established ambitious emission reduction targets based on the Company's development strategy, which is striving to achieve high-quality ""Carbon Peaking"" by 2025.'
",2025,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,"Y, g",0,N,,N,N,Not Specified,
302,284,Saint-Gobain,"Building Materials, Glass",Industrial goods,France,Europe,"$50,363.4","$3,075.6",0.054,"$63,903.5",158413,31,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Saint-Gobain commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 from a 2017 base year. Saint-Gobain also commits to reduce absolute scope 3 GHG emissions ‚Ä¶ 16% within the same timeframe. Saint-Gobain further commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2017 base year.",2050,,,Yes,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,Yes,V,V,U,U,Y,Targets set,Y,N,Yes,
411,445,Salesforce,Computer Software,Technology,U.S.,North America,"$37,895","$6,197",0.498,"$102,928",76453,3,N,,,Y,Y,Targets set,1.5°C ,2031,Targets set,1.5°C ,2041,Y,Targets set,2041,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Salesforce global climate policy principal: Reduce emission sources and scale nature-based solutions to reach net-zero emissions by 2050"" (FY25 Stakeholder Impact Report Summary, p. 23).
Source: https://web.archive.org/web/20251019160559/https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/white-papers/salesforce-fy25-stakeholder-impact-report.pdf",2050,,,Yes,Not Specified,Yes,N,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,Y,No,"C,V",N,0,Y,Y,Targets set,Y,N,Yes,
27,31,Samsung Electronics,Electronics,Technology,South Korea,Asia,"$220,636.7","$24,655.4",1.225,"$348,381.7",262647,31,Y,2022,2050,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2","""At the heart of the new commitment is achieving net zero carbon emissions (Scope 1 & Scope 2) ... across all global operations, including the Device Solutions (DS) Division, by 2050.""
(Source: https://web.archive.org/web/20250821204128/https://news.samsung.com/global/samsung-electronics-announces-new-environmental-strategy (Sept 2022))
",2050,,,Yes,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,N,0,C,N,0,U,N,,Y,N,Yes,
277,297,Sanofi,Pharmaceuticals,Health care and pharmaceuticals,France,Europe,"$53,333","$6,012.8",0.03,"$137,500.5",82878,21,Y,2020,2030,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2045,Y,Targets set,2045,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Sanofi's end target is to achieve net zero by 2045, this was updated ahead of COP 26 in November 2021: https://www.sanofi.com/en/our-responsibility/environmental-sustainability",2045,,,Yes,Not Specified,No,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,Y,Yes,V,C,Y,Y,Y,Targets set,Y,N,Yes,
429,450,SAP,Computer Software,Technology,Germany,Europe,"$36,959","$3,378.4",-0.491,"$76,746.7",109121,10,Y,2015,2014,Y,Y,Targets set,1.5Â°C,2030,Targets set,1.5Â°C,2030,Y,Targets set,2030,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3",SAP committed to achieve net-zero along the value chain in line with a 1.5¬∞C future in 2030.,2030,,,Yes,Not Specified,No,N,,,,,,,,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,Y,Yes,V,C,Y,U,Y,Targets set,Y,N,Yes,
4,4,Saudi Aramco,"Mining, Crude-Oil Production",Metals and mining,Saudi Arabia,Middle East,"$480,193.5","$104,982.3",-0.13,"$645,097.2",75118,7,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2",'We have an ambition to reach net-zero Scope 1 and Scope 2 GHG emissions by 2050 across all our wholly-owned operated assets. (see p22 of the 2024 Aramco Sustainability Report).,2050,,,Yes,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,C,N,0,Y,N,,Y,N,Yes,
102,216,Sberbank,Banks: Commercial and Savings,Financial services,Russia,Europe,"$98,742.7","$17,042.8",-0.04,"$536,082.3",308092,18,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"In 2024, Sber started to implement its new Climate Strategy until 2026, which is aimed at implementing further measures to achieve carbon neutrality by Scopes 1 and 2 by 2030.",2030,,,,N,,,,,,Yes,Not Specified,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,N,0,N,C,Y,0,N,,N,Y,Yes,
437,479,Schlumberger,"Oil and Gas Equipment, Services",Oil and gas,U.S.,North America,"$36,289","$4,461",0.061,"$48,935",110000,22,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Net-zero greenhouse gas (GHG) emissions by 2050

",2050,,,Not Specified,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,V,N,N,Y,N,,Y,N,Not Specified,
378,387,Schneider Electric,Electronics,Technology,France,Europe,"$41,259.9","$4,616.6",0.067,"$68,278.1",176962,24,Y,2017,2030,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Ultimately, the Group is committed to be Net-Zero across its entire value chain by 2050, which means that the Group aims to reduce its 2021 footprint by an absolute 90% by 2050 and balance residual emissions with high-quality and high-durability carbon removal credits"" (Schneider Electric 2023 Sustainable Development Report, pg. 98: https://www.se.com/ww/en/assets/564/document/466155/2023-sustainability-report.pdf?p_enDocType=EDMS&p_File_Name=2023%20Sustainable%20Development%20Report).",2050,,,Yes,Yes (unspecified),Yes,N,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,Y,Yes,V,"C, V",Y,Y,Y,Targets set,Y,N,Yes,
162,151,Seven & I Holdings,Food & Drug Stores,Retail,Japan,Asia,"$78,509.4","$1,134.9",-0.277,"$75,569.9",107436,20,Y,2020,2050,Y,N,Commitment removed,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Reduce emissions from group store operations to net-zero by 2050"". (Pg. 5)",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,N,No,N,C,U,0,Y,,Y,N,Not Specified,
178,170,Shaanxi Coal & Chemical Industry,"Mining, Crude-Oil Production",Metals and mining,China,Asia,"$73,683.6","$1,358.9",0.22,"$99,261.3",140860,11,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Not Specified,Not Specified,Not Specified,,,Y,"""Shaanxi Coal Group actively focuses on the national strategic goal of ""carbon peaking and carbon neutrality"" to provide customers in different industries with high-quality, green, safe, reliable and efficient smart energy services."" 
(http://www.shccig.com/ProductService/list/1125) 

China submitted its Mid-Century Long-Term Low Greenhouse Gas Emission Development Strategy (LTS) on October 28, 2021 to the UNFCCC, which contains the country‚Äôs commitment to reach ‚Äúcarbon neutrality before 2060‚Äù. (https://climateactiontracker.org/countries/china/net-zero-targets/)",2060,,,,N,,,,,,Not Specified,Not Specified,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,Y,Not Specified,
295,285,Shaanxi Yanchang Petroleum (Group),"Mining, Crude-Oil Production",Metals and mining,China,Asia,"$51,062.7","$1,026.1",0.029,"$69,286.3",126108,13,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
82,75,Shandong Energy Group,"Mining, Crude-Oil Production",Metals and mining,China,Asia,"$120,426",$105,-0.873,"$143,217.2",199526,8,N,,,N,N,,,,,,,,,,,,,,,,,G,N,committed to national peak and neutrality with their own timeline,2060,Shandong Energy Group ramps up clean energy network eyeing nation’s carbon emission reduction goal - Global Times,"Shandong Energy Group (SDE) is accelerating the construction of new energy-oriented productivity and has formed an electricity group, in a bid to implement China’s goal to achieve a peak in carbon dioxide emissions before 2030 and carbon neutrality before 2060",,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,"Y, g",0,N,,N,N,Not Specified,
465,#N/A,Shandong Gold Group,Metals,Metals and mining,China,Asia,"$34,714","$2,954.5",0.029,"$45,355.2",74378,24,N,,,N,N,,,,,,,,,,,No target,No Target,Not Specified,Not Specified,Not Specified,,G,N,,,https://finance.sina.com.cn/stock/relnews/cn/2025-10-27/doc-infvixhi9633087.shtml,no usefull information,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,,N,N,Not Specified,
401,412,Shandong Hi-Speed Group,Transportation and Logistics,Transportation and logistics,China,Asia,"$38,819.6",$579.7,0.179,"$222,106.5",52858,4,N,,,N,N,,,,,,,,,,,,,Yes,Yes,,"1,2",G,N,"2024 marked a pivotal year of fully implementing the guiding principles of the 20th CPC National Congress. It was also a tough year as SHNE deepened industrial revolution in green energy. As the flagship new energy company under Shandong Hi-Speed Group, we are firmly committed to the national strategy of achieving carbon peak and carbon neutrality. By harnessing shareholder support, we have built a new development paradigm. Through relentless innovation and strategic transformation, we are infusing fresh momentum into China’s green development.",2060,https://api2.aconnect.com.hk/Attachment/146689,,,,,,,,,Yes,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,N,N,N,,0,N,Yes,
166,175,Shandong Weiqiao Pioneering Group,Textiles,Household and personal products,China,Asia,"$77,626.2","$2,013.8",0.689,"$41,794.8",103046,14,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"In their sustainability report they state this: ""In our effort to achieve the goal of carbon neutrality, the Group expedited the implementation of the strategic plan of ‚ÄúCarbon Peak and Carbon Neutrality‚Äù. Through cooperation with the Office for Social Responsibility of China National Textile And Apparel Council, Weiqiao Textile participated in the Climate Stewardship 2030 Initiative initiated by China National Textile And Apparel Council and released its goals of ‚ÄúCarbon Peak and Carbon Neutrality‚Äù, aiming to achieve carbon peak by 2023 and carbon neutrality for its operation by 2049."" But no other information was found. ",2049,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,0,N,C,U,0,N,,N,Y,Not Specified,
374,354,Shanghai Construction Group,Engineering & Construction,Engineering and construction,China,Asia,"$41,724.8",$301.3,0.369,"$53,001.1",48821,6,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,,"1,2",G,N,committed to national peak and neutrality targets,2060,https://www.gzw.sh.gov.cn/shgzw_gqzc_shzr/20230524/eacfbb8474b54a9eb14a3102dac79382.html,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
467,452,Shanghai Delong Steel Group,Metals,Metals and mining,China,Asia,"$34,440","$5,889",0.056,"$560,038",54435,2,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,https://www.shanghaidelong.com/content.html?id=189&menuid=122,no useful information ,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
407,411,Shanghai Pharmaceuticals Holding,Wholesalers: Health Care,Health care and pharmaceuticals,China,Asia,"$38,255",$632.7,0.189,"$30,305.6",49402,6,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,Not specified,"1,2",G,N,committed to national peak and neutrality targets,2060,https://www.siic.com/news/press/82.html,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,N,N,,N,N,Not Specified,
309,292,Shanghai Pudong Development Bank,Banks: Commercial and Savings,Financial services,China,Asia,"$48,944","$6,289.9",0.213,"$1,296,272.3",62987,13,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,Not Specified,"1,2",G,N,committed to national peak and neutrality targets,2060,https://news.spdb.com.cn/about_spd/xwdt_1632/202503/t20250329_1109185.shtml,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,0,N,,N,N,Not Specified,
18,13,Shell,Petroleum Refining,Oil and gas,Britain,Europe,"$289,029","$16,094",-0.169,"$387,609",96000,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Net-zero emissions by 2025 (Scope 1, 2 and 3)"" p93 2024 report
Scope 3: ""Reduce the net carbon intensity (NCI) of the energy products we sell by 100% by 2050 (2016 baseline)"" (Annual Report 2024, p. 15; Energy Transition Strategy 2024, pp. 9 & 10)",2050,,,Yes,Yes (nature-based and CCS-based removals),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,V,N,0,Y,N,,Y,N,Yes,
161,171,Shenghong Holding Group,Chemicals,Chemicals,China,Asia,"$78,611.7",$401.4,-0.268,"$34,109.5",59553,6,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
414,370,Shenzhen Investment Holdings,Diversified Financials,Financial services,China,Asia,"$37,717.2",$818.1,-0.421,"$167,092",100057,6,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,https://www.shenzheninvestment.com/upload/file/2023-05-11/27561847-47cd-4a85-b666-24cd5a765f72.pdf,no useful information ,,N,,,,,,Not Specified,,,N,,,,,,,d0f1c87a-e935-42ef-9a76-12673e00d2f7.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
454,436,Shudao Investment Group,Engineering & Construction,Engineering and construction,China,Asia,"$35,676",$108.9,-0.283,"$29,621.3",43287,5,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,https://www.shudaojt.com,no useful information ,,N,,,,,,Not Specified,,,N,,,,,,,组织架构 - 蜀道投资集团有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
